Dia,Desde,Hacia,Costo
Día 6,4,1,1354
Día 6,4,2,3212
Día 6,4,3,846
Día 6,4,5,1036
Día 6,4,6,2394
Día 6,4,7,226
Día 6,4,8,3044
Día 6,5,1,1361
Día 6,5,2,2721
Día 6,5,3,257
Día 6,5,4,1321
Día 6,5,6,1459
Día 6,5,7,1096
Día 6,5,8,2238
Día 6,6,1,2371
Día 6,6,2,1889
Día 6,6,3,1235
Día 6,6,4,2343
Día 6,6,5,1760
Día 6,6,7,3516
Día 6,6,8,3029
Día 6,7,1,492
Día 6,7,2,2046
Día 6,7,3,1253
Día 6,7,4,527
Día 6,7,5,1078
Día 6,7,6,3487
Día 6,7,8,3688
Día 6,8,1,2638
Día 6,8,2,3233
Día 6,8,3,2797
Día 6,8,4,3226
Día 6,8,5,2356
Día 6,8,6,3233
Día 6,8,7,3625
Día 7,1,2,3329
Día 7,1,3,1302
Día 7,1,4,1083
Día 7,1,5,1299
Día 7,1,6,2242
Día 7,1,7,550
Día 7,1,8,2899
Día 7,2,1,3170
Día 7,2,3,2437
Día 7,2,4,3325
Día 7,2,5,2732
Día 7,2,6,2169
Día 7,2,7,2127
Día 7,2,8,3145
Día 7,3,1,1180
Día 7,3,2,2529
Día 7,3,4,631
Día 7,3,5,566
Día 7,3,6,1218
Día 7,3,7,1193
Día 7,3,8,2807
Día 7,4,1,1174
Día 7,4,2,3178
Día 7,4,3,891
Día 7,4,5,1124
Día 7,4,6,2529
Día 7,4,7,572
Día 7,4,8,3189
Día 7,5,1,1078
Día 7,5,2,2973
Día 7,5,3,555
Día 7,5,4,1035
Día 7,5,6,1573
Día 7,5,7,1005
Día 7,5,8,2239
Día 7,6,1,2236
Día 7,6,2,1808
Día 7,6,3,1263
Día 7,6,4,2248
Día 7,6,5,1543
Día 7,6,7,3783
Día 7,6,8,3261
Día 7,7,1,235
Día 7,7,2,1995
Día 7,7,3,1078
Día 7,7,4,578
Día 7,7,5,1194
Día 7,7,6,3536
Día 7,7,8,3563
Día 7,8,1,2893
Día 7,8,2,3100
Día 7,8,3,2925
Día 7,8,4,3194
Día 7,8,5,2208
Día 7,8,6,3162
Día 7,8,7,3723
Día 8,1,2,3094
Día 8,1,3,1385
Día 8,1,4,1174
Día 8,1,5,1359
Día 8,1,6,2594
Día 8,1,7,494
Día 8,1,8,2988
Día 8,2,1,3046
Día 8,2,3,2362
Día 8,2,4,3110
Día 8,2,5,2735
Día 8,2,6,1866
Día 8,2,7,1859
Día 8,2,8,3029
Día 8,3,1,1009
Día 8,3,2,2481
Día 8,3,4,961
Día 8,3,5,582
Día 8,3,6,1310
Día 8,3,7,1061
Día 8,3,8,2683
Día 8,4,1,1267
Día 8,4,2,3314
Día 8,4,3,647
Día 8,4,5,1273
Día 8,4,6,2453
Día 8,4,7,263
Día 8,4,8,3133
Día 8,5,1,1222
Día 8,5,2,2643
Día 8,5,3,276
Día 8,5,4,1133
Día 8,5,6,1768
Día 8,5,7,1067
Día 8,5,8,2226
Día 8,6,1,2447
Día 8,6,2,2003
Día 8,6,3,1038
Día 8,6,4,2564
Día 8,6,5,1695
Día 8,6,7,3725
Día 8,6,8,3029
Día 8,7,1,545
Día 8,7,2,2011
Día 8,7,3,1042
Día 8,7,4,404
Día 8,7,5,1055
Día 8,7,6,3454
Día 8,7,8,3776
Día 8,8,1,2804
Día 8,8,2,3149
Día 8,8,3,2945
Día 8,8,4,3354
Día 8,8,5,2529
Día 8,8,6,3294
Día 8,8,7,3764
Día 9,1,2,3092
Día 9,1,3,1273
Día 9,1,4,1147
Día 9,1,5,1152
Día 9,1,6,2316
Día 9,1,7,266
Día 9,1,8,2624
Día 9,2,1,3144
Día 9,2,3,2566
Día 9,2,4,3092
Día 9,2,5,2855
Día 9,2,6,2017
Día 9,2,7,2017
Día 9,2,8,3201
Día 9,3,1,1145
Día 9,3,2,2284
Día 9,3,4,787
Día 9,3,5,350
Día 9,3,6,1035
Día 9,3,7,1244
Día 9,3,8,2841
Día 9,4,1,1113
Día 9,4,2,3244
Día 9,4,3,679
Día 9,4,5,1292
Día 9,4,6,2296
Día 9,4,7,492
Día 9,4,8,3184
Día 9,5,1,1045
Día 9,5,2,2637
Día 9,5,3,488
Día 9,5,4,1160
Día 9,5,6,1630
Día 9,5,7,1216
Día 9,5,8,2566
Día 9,6,1,2331
Día 9,6,2,2010
Día 9,6,3,1394
Día 9,6,4,2294
Día 9,6,5,1746
Día 9,6,7,3503
Día 9,6,8,3183
Día 9,7,1,412
Día 9,7,2,2087
Día 9,7,3,1095
Día 9,7,4,423
Día 9,7,5,1226
Día 9,7,6,3775
Día 9,7,8,3650
Día 9,8,1,2871
Día 9,8,2,3013
Día 9,8,3,2997
Día 9,8,4,3055
Día 9,8,5,2529
Día 9,8,6,3235
Día 9,8,7,3415
Día 10,1,2,3076
Día 10,1,3,1220
Día 10,1,4,1315
Día 10,1,5,1090
Día 10,1,6,2448
Día 10,1,7,261
Día 10,1,8,2865
Día 10,2,1,3183
Día 10,2,3,2279
Día 10,2,4,3088
Día 10,2,5,2636
Día 10,2,6,2137
Día 10,2,7,1839
Día 10,2,8,3312
Día 10,3,1,1362
Día 10,3,2,2233
Día 10,3,4,934
Día 10,3,5,362
Día 10,3,6,1389
Día 10,3,7,1101
Día 10,3,8,2712
Día 10,4,1,1029
Día 10,4,2,3061
Día 10,4,3,960
Día 10,4,5,1391
Día 10,4,6,2501
Día 10,4,7,214
Día 10,4,8,3032
Día 10,5,1,1078
Día 10,5,2,2786
Día 10,5,3,307
Día 10,5,4,1095
Día 10,5,6,1575
Día 10,5,7,1315
Día 10,5,8,2453
Día 10,6,1,2538
Día 10,6,2,2060
Día 10,6,3,1154
Día 10,6,4,2262
Día 10,6,5,1542
Día 10,6,7,3629
Día 10,6,8,3249
Día 10,7,1,217
Día 10,7,2,1911
Día 10,7,3,1007
Día 10,7,4,450
Día 10,7,5,1372
Día 10,7,6,3461
Día 10,7,8,3702
Día 10,8,1,2769
Día 10,8,2,3338
Día 10,8,3,2650
Día 10,8,4,3300
Día 10,8,5,2501
Día 10,8,6,3055
Día 10,8,7,3675
Día 11,1,2,3387
Día 11,1,3,1097
Día 11,1,4,1340
Día 11,1,5,1174
Día 11,1,6,2229
Día 11,1,7,560
Día 11,1,8,2701
Día 11,2,1,3312
Día 11,2,3,2361
Día 11,2,4,3009
Día 11,2,5,2632
Día 11,2,6,1932
Día 11,2,7,1976
Día 11,2,8,3187
Día 11,3,1,1189
Día 11,3,2,2361
Día 11,3,4,629
Día 11,3,5,509
Día 11,3,6,1089
Día 11,3,7,1381
Día 11,3,8,2740
Día 11,4,1,1164
Día 11,4,2,3281
Día 11,4,3,669
Día 11,4,5,1135
Día 11,4,6,2488
Día 11,4,7,308
Día 11,4,8,3389
Día 11,5,1,1222
Día 11,5,2,2831
Día 11,5,3,478
Día 11,5,4,1243
Día 11,5,6,1540
Día 11,5,7,1324
Día 11,5,8,2506
Día 11,6,1,2393
Día 11,6,2,1820
Día 11,6,3,1318
Día 11,6,4,2383
Día 11,6,5,1748
Día 11,6,7,3677
Día 11,6,8,3229
Día 11,7,1,230
Día 11,7,2,2160
Día 11,7,3,1103
Día 11,7,4,363
Día 11,7,5,1002
Día 11,7,6,3635
Día 11,7,8,3582
Día 11,8,1,2667
Día 11,8,2,3202
Día 11,8,3,2708
Día 11,8,4,3108
Día 11,8,5,2202
Día 11,8,6,3283
Día 11,8,7,3622
Día 12,1,2,3242
Día 12,1,3,1178
Día 12,1,4,1093
Día 12,1,5,1313
Día 12,1,6,2554
Día 12,1,7,294
Día 12,1,8,2900
Día 12,2,1,3163
Día 12,2,3,2247
Día 12,2,4,3363
Día 12,2,5,2845
Día 12,2,6,2027
Día 12,2,7,1993
Día 12,2,8,3100
Día 12,3,1,1073
Día 12,3,2,2212
Día 12,3,4,802
Día 12,3,5,485
Día 12,3,6,1147
Día 12,3,7,1029
Día 12,3,8,2985
Día 12,4,1,1221
Día 12,4,2,3383
Día 12,4,3,983
Día 12,4,5,1015
Día 12,4,6,2547
Día 12,4,7,572
Día 12,4,8,3334
Día 12,5,1,1125
Día 12,5,2,2887
Día 12,5,3,235
Día 12,5,4,1387
Día 12,5,6,1560
Día 12,5,7,1285
Día 12,5,8,2260
Día 12,6,1,2557
Día 12,6,2,2167
Día 12,6,3,1108
Día 12,6,4,2330
Día 12,6,5,1683
Día 12,6,7,3499
Día 12,6,8,3142
Día 12,7,1,219
Día 12,7,2,1945
Día 12,7,3,1251
Día 12,7,4,539
Día 12,7,5,1232
Día 12,7,6,3442
Día 12,7,8,3621
Día 12,8,1,2996
Día 12,8,2,3227
Día 12,8,3,2903
Día 12,8,4,3400
Día 12,8,5,2254
Día 12,8,6,3259
Día 12,8,7,3663
Día 13,1,2,3095
Día 13,1,3,1205
Día 13,1,4,1167
Día 13,1,5,1395
Día 13,1,6,2254
Día 13,1,7,396
Día 13,1,8,2917
Día 13,2,1,3363
Día 13,2,3,2508
Día 13,2,4,3180
Día 13,2,5,2899
Día 13,2,6,2138
Día 13,2,7,2055
Día 13,2,8,3292
Día 13,3,1,1067
Día 13,3,2,2423
Día 13,3,4,733
Día 13,3,5,589
Día 13,3,6,1051
Día 13,3,7,1187
Día 13,3,8,2707
Día 13,4,1,1070
Día 13,4,2,3263
Día 13,4,3,780
Día 13,4,5,1246
Día 13,4,6,2594
Día 13,4,7,390
Día 13,4,8,3273
Día 13,5,1,1047
Día 13,5,2,2905
Día 13,5,3,233
Día 13,5,4,1232
Día 13,5,6,1777
Día 13,5,7,1037
Día 13,5,8,2531
Día 13,6,1,2298
Día 13,6,2,1978
Día 13,6,3,1343
Día 13,6,4,2479
Día 13,6,5,1554
Día 13,6,7,3639
Día 13,6,8,3241
Día 13,7,1,588
Día 13,7,2,1819
Día 13,7,3,1376
Día 13,7,4,525
Día 13,7,5,1245
Día 13,7,6,3761
Día 13,7,8,3766
Día 13,8,1,2899
Día 13,8,2,3247
Día 13,8,3,2862
Día 13,8,4,3150
Día 13,8,5,2540
Día 13,8,6,3379
Día 13,8,7,3620
Día 14,1,2,3271
Día 14,1,3,1007
Día 14,1,4,1296
Día 14,1,5,1150
Día 14,1,6,2466
Día 14,1,7,343
Día 14,1,8,2725
Día 14,2,1,3210
Día 14,2,3,2200
Día 14,2,4,3371
Día 14,2,5,2612
Día 14,2,6,2105
Día 14,2,7,2138
Día 14,2,8,3372
Día 14,3,1,1234
Día 14,3,2,2579
Día 14,3,4,796
Día 14,3,5,213
Día 14,3,6,1157
Día 14,3,7,1154
Día 14,3,8,2819
Día 14,4,1,1273
Día 14,4,2,3066
Día 14,4,3,963
Día 14,4,5,1284
Día 14,4,6,2393
Día 14,4,7,250
Día 14,4,8,3333
Día 14,5,1,1385
Día 14,5,2,2705
Día 14,5,3,453
Día 14,5,4,1171
Día 14,5,6,1628
Día 14,5,7,1240
Día 14,5,8,2578
Día 14,6,1,2237
Día 14,6,2,2060
Día 14,6,3,1324
Día 14,6,4,2237
Día 14,6,5,1431
Día 14,6,7,3692
Día 14,6,8,3117
Día 14,7,1,546
Día 14,7,2,2027
Día 14,7,3,1204
Día 14,7,4,401
Día 14,7,5,1188
Día 14,7,6,3693
Día 14,7,8,3555
Día 14,8,1,2982
Día 14,8,2,3327
Día 14,8,3,2777
Día 14,8,4,3151
Día 14,8,5,2394
Día 14,8,6,3212
Día 14,8,7,3436
Día 15,1,2,3382
Día 15,1,3,1009
Día 15,1,4,1114
Día 15,1,5,1009
Día 15,1,6,2399
Día 15,1,7,404
Día 15,1,8,2660
Día 15,2,1,3138
Día 15,2,3,2420
Día 15,2,4,3333
Día 15,2,5,2988
Día 15,2,6,2138
Día 15,2,7,2108
Día 15,2,8,3316
Día 15,3,1,1092
Día 15,3,2,2509
Día 15,3,4,619
Día 15,3,5,335
Día 15,3,6,1096
Día 15,3,7,1340
Día 15,3,8,2793
Día 15,4,1,1240
Día 15,4,2,3355
Día 15,4,3,694
Día 15,4,5,1099
Día 15,4,6,2227
Día 15,4,7,411
Día 15,4,8,3131
Día 15,5,1,1083
Día 15,5,2,2916
Día 15,5,3,259
Día 15,5,4,1300
Día 15,5,6,1439
Día 15,5,7,1193
Día 15,5,8,2511
Día 15,6,1,2510
Día 15,6,2,1932
Día 15,6,3,1378
Día 15,6,4,2414
Día 15,6,5,1525
Día 15,6,7,3509
Día 15,6,8,3161
Día 15,7,1,490
Día 15,7,2,1806
Día 15,7,3,1151
Día 15,7,4,434
Día 15,7,5,1133
Día 15,7,6,3735
Día 15,7,8,3675
Día 15,8,1,2992
Día 15,8,2,3313
Día 15,8,3,2652
Día 15,8,4,3296
Día 15,8,5,2401
Día 15,8,6,3340
Día 15,8,7,3765
Día 16,1,2,3001
Día 16,1,3,1388
Día 16,1,4,1023
Día 16,1,5,1281
Día 16,1,6,2564
Día 16,1,7,243
Día 16,1,8,2808
Día 16,2,1,3079
Día 16,2,3,2236
Día 16,2,4,3030
Día 16,2,5,2605
Día 16,2,6,1840
Día 16,2,7,2154
Día 16,2,8,3378
Día 16,3,1,1339
Día 16,3,2,2252
Día 16,3,4,928
Día 16,3,5,263
Día 16,3,6,1212
Día 16,3,7,1205
Día 16,3,8,2875
Día 16,4,1,1055
Día 16,4,2,3108
Día 16,4,3,782
Día 16,4,5,1329
Día 16,4,6,2571
Día 16,4,7,489
Día 16,4,8,3346
Día 16,5,1,1334
Día 16,5,2,2737
Día 16,5,3,569
Día 16,5,4,1223
Día 16,5,6,1551
Día 16,5,7,1294
Día 16,5,8,2227
Día 16,6,1,2205
Día 16,6,2,1977
Día 16,6,3,1025
Día 16,6,4,2486
Día 16,6,5,1664
Día 16,6,7,3709
Día 16,6,8,3215
Día 16,7,1,568
Día 16,7,2,2025
Día 16,7,3,1289
Día 16,7,4,589
Día 16,7,5,1316
Día 16,7,6,3660
Día 16,7,8,3764
Día 16,8,1,2960
Día 16,8,2,3005
Día 16,8,3,2954
Día 16,8,4,3190
Día 16,8,5,2504
Día 16,8,6,3119
Día 16,8,7,3652
Día 17,1,2,3032
Día 17,1,3,1298
Día 17,1,4,1394
Día 17,1,5,1193
Día 17,1,6,2343
Día 17,1,7,450
Día 17,1,8,2676
Día 17,2,1,3213
Día 17,2,3,2579
Día 17,2,4,3177
Día 17,2,5,2726
Día 17,2,6,2185
Día 17,2,7,1939
Día 17,2,8,3100
Día 17,3,1,1117
Día 17,3,2,2300
Día 17,3,4,619
Día 17,3,5,503
Día 17,3,6,1138
Día 17,3,7,1203
Día 17,3,8,2669
Día 17,4,1,1067
Día 17,4,2,3213
Día 17,4,3,753
Día 17,4,5,1026
Día 17,4,6,2230
Día 17,4,7,326
Día 17,4,8,3070
Día 17,5,1,1113
Día 17,5,2,2795
Día 17,5,3,488
Día 17,5,4,1116
Día 17,5,6,1717
Día 17,5,7,1247
Día 17,5,8,2367
Día 17,6,1,2477
Día 17,6,2,2023
Día 17,6,3,1102
Día 17,6,4,2523
Día 17,6,5,1576
Día 17,6,7,3560
Día 17,6,8,3200
Día 17,7,1,371
Día 17,7,2,2039
Día 17,7,3,1100
Día 17,7,4,219
Día 17,7,5,1338
Día 17,7,6,3471
Día 17,7,8,3767
Día 17,8,1,2831
Día 17,8,2,3349
Día 17,8,3,2621
Día 17,8,4,3333
Día 17,8,5,2516
Día 17,8,6,3184
Día 17,8,7,3539
Día 18,1,2,3211
Día 18,1,3,1121
Día 18,1,4,1221
Día 18,1,5,1263
Día 18,1,6,2425
Día 18,1,7,426
Día 18,1,8,2890
Día 18,2,1,3300
Día 18,2,3,2401
Día 18,2,4,3228
Día 18,2,5,2744
Día 18,2,6,2005
Día 18,2,7,1829
Día 18,2,8,3149
Día 18,3,1,1129
Día 18,3,2,2526
Día 18,3,4,934
Día 18,3,5,261
Día 18,3,6,1106
Día 18,3,7,1296
Día 18,3,8,2835
Día 18,4,1,1370
Día 18,4,2,3006
Día 18,4,3,955
Día 18,4,5,1137
Día 18,4,6,2210
Día 18,4,7,211
Día 18,4,8,3141
Día 18,5,1,1286
Día 18,5,2,2734
Día 18,5,3,410
Día 18,5,4,1016
Día 18,5,6,1760
Día 18,5,7,1181
Día 18,5,8,2568
Día 18,6,1,2417
Día 18,6,2,1922
Día 18,6,3,1223
Día 18,6,4,2203
Día 18,6,5,1512
Día 18,6,7,3493
Día 18,6,8,3006
Día 18,7,1,286
Día 18,7,2,1943
Día 18,7,3,1122
Día 18,7,4,335
Día 18,7,5,1273
Día 18,7,6,3586
Día 18,7,8,3455
Día 18,8,1,2904
Día 18,8,2,3122
Día 18,8,3,2885
Día 18,8,4,3222
Día 18,8,5,2417
Día 18,8,6,3204
Día 18,8,7,3573
Día 19,1,2,3002
Día 19,1,3,1162
Día 19,1,4,1304
Día 19,1,5,1187
Día 19,1,6,2299
Día 19,1,7,488
Día 19,1,8,2676
Día 19,2,1,3065
Día 19,2,3,2214
Día 19,2,4,3238
Día 19,2,5,2878
Día 19,2,6,1989
Día 19,2,7,1994
Día 19,2,8,3144
Día 19,3,1,1148
Día 19,3,2,2326
Día 19,3,4,713
Día 19,3,5,254
Día 19,3,6,1251
Día 19,3,7,1371
Día 19,3,8,2678
Día 19,4,1,1103
Día 19,4,2,3260
Día 19,4,3,939
Día 19,4,5,1351
Día 19,4,6,2542
Día 19,4,7,511
Día 19,4,8,3189
Día 19,5,1,1043
Día 19,5,2,2704
Día 19,5,3,285
Día 19,5,4,1033
Día 19,5,6,1800
Día 19,5,7,1112
Día 19,5,8,2322
Día 19,6,1,2598
Día 19,6,2,1912
Día 19,6,3,1352
Día 19,6,4,2437
Día 19,6,5,1558
Día 19,6,7,3765
Día 19,6,8,3140
Día 19,7,1,374
Día 19,7,2,1937
Día 19,7,3,1152
Día 19,7,4,205
Día 19,7,5,1128
Día 19,7,6,3756
Día 19,7,8,3539
Día 19,8,1,2959
Día 19,8,2,3099
Día 19,8,3,2901
Día 19,8,4,3034
Día 19,8,5,2200
Día 19,8,6,3004
Día 19,8,7,3631
Día 20,1,2,3398
Día 20,1,3,1365
Día 20,1,4,1321
Día 20,1,5,1307
Día 20,1,6,2443
Día 20,1,7,310
Día 20,1,8,2987
Día 20,2,1,3174
Día 20,2,3,2570
Día 20,2,4,3251
Día 20,2,5,2984
Día 20,2,6,2123
Día 20,2,7,2090
Día 20,2,8,3293
Día 20,3,1,1310
Día 20,3,2,2408
Día 20,3,4,701
Día 20,3,5,238
Día 20,3,6,1259
Día 20,3,7,1025
Día 20,3,8,2704
Día 20,4,1,1194
Día 20,4,2,3242
Día 20,4,3,871
Día 20,4,5,1196
Día 20,4,6,2391
Día 20,4,7,361
Día 20,4,8,3035
Día 20,5,1,1297
Día 20,5,2,2617
Día 20,5,3,425
Día 20,5,4,1259
Día 20,5,6,1692
Día 20,5,7,1178
Día 20,5,8,2308
Día 20,6,1,2305
Día 20,6,2,1883
Día 20,6,3,1170
Día 20,6,4,2330
Día 20,6,5,1637
Día 20,6,7,3741
Día 20,6,8,3351
Día 20,7,1,390
Día 20,7,2,1966
Día 20,7,3,1025
Día 20,7,4,350
Día 20,7,5,1253
Día 20,7,6,3601
Día 20,7,8,3786
Día 20,8,1,2923
Día 20,8,2,3038
Día 20,8,3,2636
Día 20,8,4,3030
Día 20,8,5,2237
Día 20,8,6,3369
Día 20,8,7,3614
Día 21,1,2,3050
Día 21,1,3,1236
Día 21,1,4,1300
Día 21,1,5,1181
Día 21,1,6,2551
Día 21,1,7,504
Día 21,1,8,2839
Día 21,2,1,3294
Día 21,2,3,2215
Día 21,2,4,3154
Día 21,2,5,2729
Día 21,2,6,1864
Día 21,2,7,2119
Día 21,2,8,3109
Día 21,3,1,1218
Día 21,3,2,2349
Día 21,3,4,733
Día 21,3,5,257
Día 21,3,6,1073
Día 21,3,7,1215
Día 21,3,8,2944
Día 21,4,1,1155
Día 21,4,2,3327
Día 21,4,3,883
Día 21,4,5,1004
Día 21,4,6,2582
Día 21,4,7,271
Día 21,4,8,3130
Día 21,5,1,1037
Día 21,5,2,2876
Día 21,5,3,555
Día 21,5,4,1139
Día 21,5,6,1559
Día 21,5,7,1340
Día 21,5,8,2288
Día 21,6,1,2548
Día 21,6,2,1861
Día 21,6,3,1092
Día 21,6,4,2486
Día 21,6,5,1598
Día 21,6,7,3695
Día 21,6,8,3198
Día 21,7,1,398
Día 21,7,2,1951
Día 21,7,3,1084
Día 21,7,4,476
Día 21,7,5,1116
Día 21,7,6,3445
Día 21,7,8,3554
Día 21,8,1,2750
Día 21,8,2,3377
Día 21,8,3,2895
Día 21,8,4,3138
Día 21,8,5,2468
Día 21,8,6,3070
Día 21,8,7,3599
Día 22,1,2,3002
